condition,gene_a,gene_b,lfc,base_lfc_a,base_lfc_b,guide_pairs,pair_z_score_gene_a_anchor,pair_z_score_gene_b_anchor,pair_z_score,p_value,fdr_bh
MOLM13_14,RAX,RAX,1.1615833667478832,0.281867156218242,0.281867156218242,2,0.49740646379075076,0.49740646379075076,0.7034389671049215,0.4817822295968833,0.7357512088742323
MOLM13_14,ACACA,RXRA,-0.3356431426228508,-0.6685931429786102,0.27049644942300527,9,0.9519074670096833,-0.4801196299355966,0.33360437887642075,0.7386781135235221,0.9018617910324004
MOLM13_14,C12orf49,RXRA,0.1179314264224054,-0.19947245333408023,0.27049644942300527,9,1.6111914936379257,-0.7481158129369287,0.6102866665008704,0.5416719278640871,0.7769230591743481
MOLM13_14,CXorf66,RXRA,0.5740114823828134,-0.17900311338716657,0.27049644942300527,3,-0.026017170496358096,1.9471316831319727,1.3584330993205322,0.17432629744868489,0.46319391213128136
MOLM13_14,FASN,RXRA,0.4249909944646482,0.043576943275232725,0.27049644942300527,9,-0.43231153365620095,-0.1373675906710032,-0.40282397191218033,0.6870777247895852,0.8746386032365124
MOLM13_14,GPX4,RXRA,-2.4743677309634626,-2.9514065201068966,0.27049644942300527,9,1.6644649556660394,-0.6265713783171972,0.7339015866933306,0.4630087199798101,0.7228516551097223
MOLM13_14,GPX6,RXRA,0.3414401731605882,0.05127182161231262,0.27049644942300527,3,1.7318225829695144,1.6628395770741637,2.400388633204258,0.016377673448674364,0.12924313965203688
MOLM13_14,GSX2,RXRA,-0.16960321957125024,-0.9657306780424616,0.27049644942300527,3,-1.887570967132409,1.7715745512697347,-0.08202185224983179,0.9346293364199564,0.9715457302722806
MOLM13_14,NDST4,RXRA,0.34720688582010545,-0.0324461139714797,0.27049644942300527,3,0.5377689231312672,1.1288661160611708,1.1784889379760803,0.2386017398130007,0.5302971643565083
MOLM13_14,OPN5,RXRA,0.3199247368326004,-0.8086096961838045,0.27049644942300527,3,0.6433396688889949,1.1123025447783967,1.2414265146215742,0.21444822924000284,0.5044790740771016
MOLM13_14,PRSS37,RXRA,0.6650695021847245,-0.15603680183552116,0.27049644942300527,3,0.985708692031748,2.0321798810438607,2.1339694748871567,0.03284527962417314,0.18853531917146707
MOLM13_14,PSTK,RXRA,-1.5535460854244032,-1.8248427098480413,0.27049644942300527,9,-0.3268563405092538,-1.3942759973670007,-1.2170243474317555,0.22359495241672234,0.5120759604442698
MOLM13_14,PTEN,RXRA,0.6884071724337324,0.45563184846039523,0.27049644942300527,9,0.026681249769557103,-1.3820133536113366,-0.9583645213863521,0.33787897895283847,0.629336453518304
MOLM13_14,RAX,RXRA,0.14350582947948531,0.281867156218242,0.27049644942300527,3,0.046335108892363946,0.31426570404721343,0.25498328013095684,0.7987360130253895,0.9283940636170142
MOLM13_14,ACACA,RXRB,-0.5710963896818123,-0.6685931429786102,-0.033112634298013414,9,0.8658026098140859,0.17261927863698126,0.7342751590562901,0.4627810544667623,0.7228516551097223
MOLM13_14,C12orf49,RXRB,-0.3783040603813775,-0.19947245333408023,-0.033112634298013414,9,-0.32214047049560746,-1.7030654234141303,-1.4320368208825394,0.1521332838688091,0.4371524864029211
MOLM13_14,CXorf66,RXRB,0.12299912995208802,-0.17900311338716657,-0.033112634298013414,3,-0.650584324368339,1.324974658130716,0.47686597817003584,0.6334575598275674,0.8429154367528946
MOLM13_14,FASN,RXRB,0.05380735266820021,0.043576943275232725,-0.033112634298013414,9,-0.9950553812449511,-0.1979397980932419,-0.8435749812328976,0.3989069497079666,0.6815949255018959
MOLM13_14,GPX4,RXRB,-3.0978462339827684,-2.9514065201068966,-0.033112634298013414,9,-1.0817253074747062,-2.7010917913558896,-2.6748556225715365,0.007476143855771983,0.0785430910365692
MOLM13_14,GPX6,RXRB,-0.3693399444479432,0.05127182161231262,-0.033112634298013414,3,-0.8179466171755443,0.02748249354327399,-0.5589425421050598,0.576200934292607,0.8021336264123782
MOLM13_14,GSX2,RXRB,0.09187677509960916,-0.9657306780424616,-0.033112634298013414,3,0.8149465854682661,3.9271645510997417,3.353178941807484,0.0007988903875744478,0.018933079930705178
MOLM13_14,NDST4,RXRB,-0.05178294505133222,-0.0324461139714797,-0.033112634298013414,3,0.043313882903607236,0.6724417571788951,0.5061156667748552,0.6127754529494367,0.8307291095585986
MOLM13_14,OPN5,RXRB,-0.05030002420001652,-0.8086096961838045,-0.033112634298013414,3,0.09624085694922652,0.9739964174669613,0.7567720342182943,0.44918645002925783,0.7136253737551252
MOLM13_14,PRSS37,RXRB,-0.010503088684446382,-0.15603680183552116,-0.033112634298013414,3,-0.777939240467876,0.46373754953680146,-0.22217414631764254,0.8241783194248373,0.9333932060152871
MOLM13_14,PSTK,RXRB,-1.6116538190880176,-1.8248427098480413,-0.033112634298013414,9,-0.025146852595262503,0.7132456288026437,0.48655931078240383,0.6265706643856661,0.8404968944590894
MOLM13_14,PTEN,RXRB,0.392430986365803,0.45563184846039523,-0.033112634298013414,9,0.16276432871745736,-0.518553276662812,-0.25158077776338783,0.8013651179468209,0.9290814570185376
MOLM13_14,RAX,RXRB,-0.43839248789156154,0.281867156218242,-0.033112634298013414,3,-1.2282370703622778,-0.8403135724342333,-1.4626861867492047,0.14355326760479944,0.42876100036289694
MOLM13_14,ACACA,SCAP,-1.2716792218833024,-0.6685931429786102,-1.0112281620440293,9,1.1724382777860614,0.14060049919392467,0.9284586231634389,0.35316972140917546,0.6434674704356187
MOLM13_14,C12orf49,SCAP,-1.414380056698394,-0.19947245333408023,-1.0112281620440293,9,-1.9103387322844172,-2.50745040987819,-3.12384866027548,0.0017850224227157732,0.031193254997201537
MOLM13_14,CXorf66,SCAP,-0.6564138155075864,-0.17900311338716657,-1.0112281620440293,3,0.909399463790863,0.7814645077004722,1.1956213803055402,0.2318443441870317,0.5244173569742135
MOLM13_14,FASN,SCAP,-0.3376522810134944,0.043576943275232725,-1.0112281620440293,9,2.6032634633872767,2.039090932360278,3.2826402739042733,0.001028398059805375,0.022435315567859368
MOLM13_14,GPX4,SCAP,-2.480537489608967,-2.9514065201068966,-1.0112281620440293,9,2.826140384138347,-0.038042245643480056,1.9714831003433102,0.04866864415088818,0.24159464671309164
MOLM13_14,GPX6,SCAP,-1.3750588224117568,0.05127182161231262,-1.0112281620440293,3,-0.9510263004912901,-0.7067105352572471,-1.1721969579805207,0.2411179894650829,0.5330377206548377
MOLM13_14,GSX2,SCAP,-0.6123592992362229,-0.9657306780424616,-1.0112281620440293,3,1.7763035971298269,1.9736948702928612,2.651649345753743,0.008009968035704742,0.08147562578649363
MOLM13_14,NDST4,SCAP,-1.0786339378180996,-0.0324461139714797,-1.0112281620440293,3,-0.18781849551777782,-0.21979570984819505,-0.2882267687222454,0.7731731593528545,0.9156579272907376
MOLM13_14,OPN5,SCAP,-0.3704335524977475,-0.8086096961838045,-1.0112281620440293,3,2.5969092671219,1.9911001074840549,3.244212540931321,0.0011777582858931736,0.024048313658364205
MOLM13_14,PRSS37,SCAP,-0.9645673119310875,-0.15603680183552116,-1.0112281620440293,3,-0.2766498937408234,0.02739830463280873,-0.17624748887980016,0.8600995139422425,0.9455746300762949
MOLM13_14,PSTK,SCAP,-2.000646276428092,-1.8248427098480413,-1.0112281620440293,9,0.19769213201722236,-0.8095813513014125,-0.43267101629079324,0.6652537889550243,0.864835664128746
MOLM13_14,PTEN,SCAP,-0.7490699844374855,0.45563184846039523,-1.0112281620440293,9,-0.5628581874033688,-0.6078972313544381,-0.8278490957145413,0.40775596642871803,0.6873220024895341
MOLM13_14,RAX,SCAP,-1.1789374117859655,0.281867156218242,-1.0112281620440293,3,-0.10931357263201562,-0.5808195221761513,-0.4879977912601133,0.6255514055605704,0.8404896518795995
MOLM13_14,ACACA,SCD,-1.2756385891280917,-0.6685931429786102,-2.0969690999020973,9,6.32933496744494,4.293471431883678,7.511458440197118,5.847223503254177e-14,1.0771885075994918e-11
MOLM13_14,C12orf49,SCD,-2.2091868041045273,-0.19947245333408023,-2.0969690999020973,9,-0.20534472061700862,-1.942575685227406,-1.5188090844215467,0.12881055858378596,0.40546236644175604
MOLM13_14,CXorf66,SCD,-1.9676262945441991,-0.17900311338716657,-2.0969690999020973,3,0.27562341701029036,-0.3065562054233182,-0.021872784447860637,0.9825494344445229,0.9914163649098736
MOLM13_14,FASN,SCD,-1.189022911477248,0.043576943275232725,-2.0969690999020973,9,3.541521327623657,2.682738320173281,4.401216204823006,1.076457956591279e-05,0.0006374168900101216
MOLM13_14,GPX4,SCD,-3.6186357523707127,-2.9514065201068966,-2.0969690999020973,9,-1.7217563957314914,-1.2716921693091112,-2.11668777947335,0.0342863546751444,0.19270093576742173
MOLM13_14,GPX6,SCD,-2.0946000090466765,0.05127182161231262,-2.0969690999020973,3,1.3986201208074747,-0.3496898560009826,0.7417057032364714,0.4582656635788718,0.7208771064646768
MOLM13_14,GSX2,SCD,-1.9956516319083353,-0.9657306780424616,-2.0969690999020973,3,-0.16906400570286312,0.6940803178647162,0.37124259456319963,0.7104568504072575,0.884337430912337
MOLM13_14,NDST4,SCD,-2.1065120501071934,-0.0324461139714797,-2.0969690999020973,3,0.14533915925222562,-0.6897455702463313,-0.38495346493536275,0.7002718931779183,0.8817709320535471
MOLM13_14,OPN5,SCD,-1.6893407216042557,-0.8086096961838045,-2.0969690999020973,3,0.6651381893283258,0.6395738136802648,0.9225707048228575,0.3562309681238707,0.6462045351743738
MOLM13_14,PRSS37,SCD,-1.5984192384635456,-0.15603680183552116,-2.0969690999020973,3,2.4305240026086805,0.5691922952724547,2.121119735867556,0.03391172750223383,0.19124368775069278
MOLM13_14,PSTK,SCD,-2.777449520161304,-1.8248427098480413,-2.0969690999020973,9,-1.2598745066204897,-0.15410881941869345,-0.9998371983270153,0.3173893007537293,0.6133233807105863
MOLM13_14,PTEN,SCD,-1.9025620144434232,0.45563184846039523,-2.0969690999020973,9,-0.6385233418206738,-2.2317789211897208,-2.029610194229743,0.042396177865528455,0.2196651965657693
